matlab_mouse_index,python_index,session_file,session_id,lag,block_a_pv_correlation,block_b_pv_correlation,mean_block_pv_correlation
35,34,session_778240327.mat,778240327,21,0.7317711772184221,0.7302935464093712,0.7310323618138966
35,34,session_778240327.mat,778240327,22,0.7506503905070283,0.7291179854711998,0.739884187989114
35,34,session_778240327.mat,778240327,23,0.7337315002482889,0.7246406109300073,0.7291860555891481
35,34,session_778240327.mat,778240327,24,0.7390561637845514,0.7479596196699597,0.7435078917272555
35,34,session_778240327.mat,778240327,25,0.7166604573798786,0.757099267966548,0.7368798626732134
35,34,session_778240327.mat,778240327,26,0.7272974056755738,0.7693786549132469,0.7483380302944103
35,34,session_778240327.mat,778240327,27,0.7584249275442464,0.7383549878607912,0.7483899577025188
35,34,session_778240327.mat,778240327,28,0.7653063223490888,0.7209617094509474,0.7431340159000182
35,34,session_778240327.mat,778240327,29,0.7246035976756959,0.6996257013512699,0.7121146495134829
36,35,session_778998620.mat,778998620,1,0.6753247718107037,0.7824229639847945,0.7288738678977491
36,35,session_778998620.mat,778998620,2,0.6632583817777461,0.7643080195681726,0.7137832006729594
36,35,session_778998620.mat,778998620,3,0.6842835994358338,0.7471966737139751,0.7157401365749045
36,35,session_778998620.mat,778998620,4,0.651321693305435,0.7375548390950252,0.6944382662002301
36,35,session_778998620.mat,778998620,5,0.6441230023746322,0.735726605215411,0.6899248037950216
36,35,session_778998620.mat,778998620,6,0.6834143149194248,0.7325565587732932,0.707985436846359
36,35,session_778998620.mat,778998620,7,0.6708144253815486,0.7364884860670667,0.7036514557243077
36,35,session_778998620.mat,778998620,8,0.6785435495142339,0.7345850826221055,0.7065643160681697
36,35,session_778998620.mat,778998620,9,0.6965565945876327,0.7270298778023767,0.7117932361950048
36,35,session_778998620.mat,778998620,10,0.6799389528853091,0.7257582245417185,0.7028485887135139
36,35,session_778998620.mat,778998620,11,0.6765215929266689,0.7161394772598187,0.6963305350932438
36,35,session_778998620.mat,778998620,12,0.6433062806465659,0.7183583903646723,0.6808323355056192
36,35,session_778998620.mat,778998620,13,0.6702926181953481,0.7105994819752348,0.6904460500852915
36,35,session_778998620.mat,778998620,14,0.6547164293436669,0.7122250181920771,0.683470723767872
36,35,session_778998620.mat,778998620,15,0.6490006206306588,0.7116417733784846,0.6803211970045717
36,35,session_778998620.mat,778998620,16,0.6823865102100316,0.7071296710530561,0.6947580906315438
36,35,session_778998620.mat,778998620,17,0.6755557861479269,0.7016227388172012,0.688589262482564
36,35,session_778998620.mat,778998620,18,0.6468874568974413,0.6895145353956357,0.6682009961465385
36,35,session_778998620.mat,778998620,19,0.6707888043643031,0.6806380743177128,0.675713439341008
36,35,session_778998620.mat,778998620,20,0.6447294962481781,0.6783409261035951,0.6615352111758865
36,35,session_778998620.mat,778998620,21,0.6249542304985706,0.6780571779775562,0.6515057042380634
36,35,session_778998620.mat,778998620,22,0.6760017883481717,0.6813073100674452,0.6786545492078084
36,35,session_778998620.mat,778998620,23,0.6723990535913517,0.6954421685351008,0.6839206110632262
36,35,session_778998620.mat,778998620,24,0.6343956109741841,0.6983568721983487,0.6663762415862664
36,35,session_778998620.mat,778998620,25,0.6649187927135897,0.6881936431260128,0.6765562179198013
36,35,session_778998620.mat,778998620,26,0.6841497796673413,0.6429434302787644,0.6635466049730528
36,35,session_778998620.mat,778998620,27,0.6369726759081166,0.6184477207478568,0.6277101983279867
36,35,session_778998620.mat,778998620,28,0.6509827243167402,0.6126753690496051,0.6318290466831726
36,35,session_778998620.mat,778998620,29,0.7490088822181152,0.5873361137450243,0.6681724979815697
37,36,session_779839471.mat,779839471,1,0.7292987312872191,0.7381278971484351,0.7337133142178272
37,36,session_779839471.mat,779839471,2,0.721263651894671,0.7308330097256911,0.726048330810181
37,36,session_779839471.mat,779839471,3,0.7174146684088066,0.7363031404046124,0.7268589044067095
37,36,session_779839471.mat,779839471,4,0.7124186235543799,0.7493004532236893,0.7308595383890346
37,36,session_779839471.mat,779839471,5,0.7121946221979752,0.7246210309095715,0.7184078265537734
37,36,session_779839471.mat,779839471,6,0.7184666907731766,0.7319228576935112,0.7251947742333439
37,36,session_779839471.mat,779839471,7,0.7160473424356751,0.7299431611117564,0.7229952517737157
37,36,session_779839471.mat,779839471,8,0.7048158322208496,0.7396204421072627,0.7222181371640561
37,36,session_779839471.mat,779839471,9,0.7097186792695729,0.7257707260732923,0.7177447026714325
37,36,session_779839471.mat,779839471,10,0.7101436439208333,0.7311154627726031,0.7206295533467182
37,36,session_779839471.mat,779839471,11,0.7071805075442541,0.7272315057161604,0.7172060066302073
37,36,session_779839471.mat,779839471,12,0.7086545589206238,0.730750723820995,0.7197026413708094
37,36,session_779839471.mat,779839471,13,0.7154962275469037,0.7315649199595976,0.7235305737532507
37,36,session_779839471.mat,779839471,14,0.7188939222473612,0.7198794506838024,0.7193866864655818
37,36,session_779839471.mat,779839471,15,0.6996254186871494,0.7156085428621154,0.7076169807746324
37,36,session_779839471.mat,779839471,16,0.6970775990246503,0.7129420919305369,0.7050098454775936
37,36,session_779839471.mat,779839471,17,0.6999175734988949,0.7199426486835876,0.7099301110912413
37,36,session_779839471.mat,779839471,18,0.7041379638414895,0.717480215457191,0.7108090896493402
37,36,session_779839471.mat,779839471,19,0.7000201315209774,0.7193626705898603,0.7096914010554188
37,36,session_779839471.mat,779839471,20,0.7051200264308826,0.7027729323402256,0.7039464793855541
37,36,session_779839471.mat,779839471,21,0.6980685477525167,0.7194508505559488,0.7087596991542328
37,36,session_779839471.mat,779839471,22,0.6891518105831496,0.7104369587218679,0.6997943846525088
37,36,session_779839471.mat,779839471,23,0.6856283970191844,0.6972510834820637,0.691439740250624
37,36,session_779839471.mat,779839471,24,0.6798481565606637,0.7151832887706466,0.6975157226656552
37,36,session_779839471.mat,779839471,25,0.6874762827445215,0.7223032912664321,0.7048897870054769
37,36,session_779839471.mat,779839471,26,0.6946827110929894,0.7108155589656322,0.7027491350293108
37,36,session_779839471.mat,779839471,27,0.7003346921241128,0.7013644195475507,0.7008495558358318
37,36,session_779839471.mat,779839471,28,0.6977205024816071,0.7164036168470296,0.7070620596643183
37,36,session_779839471.mat,779839471,29,0.6693609135377395,0.7356079450319813,0.7024844292848604
39,38,session_786091066.mat,786091066,1,0.8734784843156985,0.8840975551735408,0.8787880197446196
39,38,session_786091066.mat,786091066,2,0.8666409435920481,0.8805073671554446,0.8735741553737464
39,38,session_786091066.mat,786091066,3,0.8558516652360785,0.8816349966571957,0.868743330946637
39,38,session_786091066.mat,786091066,4,0.8443615562057529,0.873580791903595,0.8589711740546739
39,38,session_786091066.mat,786091066,5,0.832167536830419,0.873145249025733,0.8526563929280759
39,38,session_786091066.mat,786091066,6,0.8225507982322332,0.8730286568280631,0.8477897275301481
39,38,session_786091066.mat,786091066,7,0.8064784528410872,0.871034411557875,0.8387564321994812
39,38,session_786091066.mat,786091066,8,0.7903356863622872,0.8694174378314419,0.8298765620968646
39,38,session_786091066.mat,786091066,9,0.773771426856561,0.8675865559266253,0.8206789913915931
39,38,session_786091066.mat,786091066,10,0.7668013783055916,0.8640805014944494,0.8154409399000204
