lag,repeat1,repeat2,pv_correlation,source_diagonal_offset
10,15,25,0.8524145380094056,10
10,16,26,0.8580035935787311,10
10,17,27,0.8626165068372027,10
10,18,28,0.8609613884232244,10
10,19,29,0.8563735115764393,10
10,20,30,0.8323427561165138,10
11,1,12,0.8046827143253646,11
11,2,13,0.8436521861160402,11
11,3,14,0.8481223729042004,11
11,4,15,0.8407276277711966,11
11,5,16,0.8679915587152082,11
11,6,17,0.8511350211885672,11
11,7,18,0.8648444672383067,11
11,8,19,0.8652926251422223,11
11,9,20,0.8592618284672949,11
11,10,21,0.8747514870352516,11
11,11,22,0.8419861090196805,11
11,12,23,0.879579736155372,11
11,13,24,0.8793374565768647,11
11,14,25,0.8646416573084577,11
11,15,26,0.8460270100222388,11
11,16,27,0.8642069272722438,11
11,17,28,0.8427907496104017,11
11,18,29,0.8526131140273602,11
11,19,30,0.829083737939842,11
12,1,13,0.8003864340498804,12
12,2,14,0.8451329294561182,12
12,3,15,0.8312076439920263,12
12,4,16,0.849000947803128,12
12,5,17,0.8504745166437675,12
12,6,18,0.8409731123046401,12
12,7,19,0.8642301855552403,12
12,8,20,0.8435181448129626,12
12,9,21,0.8439163612032675,12
12,10,22,0.8755348861538593,12
12,11,23,0.8366147791697041,12
12,12,24,0.8767713999402341,12
12,13,25,0.8677699757314781,12
12,14,26,0.8658828162221643,12
12,15,27,0.8723449504408757,12
12,16,28,0.8527354082916315,12
12,17,29,0.8443010692128357,12
12,18,30,0.8323894835892479,12
13,1,14,0.7981815653373977,13
13,2,15,0.8160854502486573,13
13,3,16,0.8472353231145316,13
13,4,17,0.8525466075378084,13
13,5,18,0.8458507011452298,13
13,6,19,0.83198893914924,13
13,7,20,0.867076441453482,13
13,8,21,0.8620834990852221,13
13,9,22,0.8509863325902606,13
13,10,23,0.878902589591611,13
13,11,24,0.8476922934585459,13
13,12,25,0.8533911157133183,13
13,13,26,0.8654582633433747,13
13,14,27,0.8640127703866126,13
13,15,28,0.8340124754164713,13
13,16,29,0.8481509715739646,13
13,17,30,0.8159895502477512,13
14,1,15,0.7787564218118322,14
14,2,16,0.8325297153757218,14
14,3,17,0.8340759317154707,14
14,4,18,0.8449472984004187,14
14,5,19,0.8564476315682276,14
14,6,20,0.8311982706116688,14
14,7,21,0.8655189384708325,14
14,8,22,0.8504651728786529,14
14,9,23,0.8416823096568893,14
14,10,24,0.8627455614378697,14
14,11,25,0.8270065126979103,14
14,12,26,0.860003767435046,14
14,13,27,0.8822257843312686,14
14,14,28,0.8621986690230662,14
14,15,29,0.8233223343981335,14
14,16,30,0.8298201414509505,14
15,1,16,0.7771748226269495,15
15,2,17,0.8395133538403982,15
15,3,18,0.8396561949226253,15
15,4,19,0.835621859542549,15
15,5,20,0.847394877580156,15
15,6,21,0.8360542114956361,15
15,7,22,0.8632465937477624,15
15,8,23,0.8608526183696346,15
15,9,24,0.8418299785847319,15
15,10,25,0.8568696827257625,15
15,11,26,0.8193753020566916,15
15,12,27,0.8613362348133821,15
15,13,28,0.8657345111261545,15
15,14,29,0.840779824273689,15
15,15,30,0.80840905071266,15
16,1,17,0.7870370034578934,16
16,2,18,0.8271846282949439,16
16,3,19,0.8363137733167734,16
16,4,20,0.8450139311405517,16
16,5,21,0.8512344336869089,16
16,6,22,0.8348503744228365,16
16,7,23,0.8715431849741627,16
16,8,24,0.8568455222080797,16
16,9,25,0.8341864179594751,16
16,10,26,0.8617969033093524,16
16,11,27,0.823147451936999,16
16,12,28,0.8439779761777151,16
16,13,29,0.8525583008078127,16
16,14,30,0.8344162700471346,16
17,1,18,0.7828233524350814,17
17,2,19,0.8159861235605127,17
17,3,20,0.8255990567089174,17
17,4,21,0.8297961059151632,17
17,5,22,0.852656014530122,17
17,6,23,0.8384921647005588,17
17,7,24,0.8529614730017782,17
17,8,25,0.8382584920685052,17
17,9,26,0.8336982692723549,17
17,10,27,0.8758201205148968,17
17,11,28,0.8123151630575887,17
17,12,29,0.8338819156298849,17
17,13,30,0.8273450844820406,17
18,1,19,0.7680554193100347,18
18,2,20,0.8186357048577803,18
18,3,21,0.8350234922691516,18
18,4,22,0.8351253701398494,18
18,5,23,0.8553238856604696,18
18,6,24,0.8296101583717643,18
18,7,25,0.8369583145491887,18
18,8,26,0.8401634919655822,18
18,9,27,0.8467967757123211,18
18,10,28,0.8405905246894715,18
18,11,29,0.7957986060862794,18
18,12,30,0.831193166555141,18
19,1,20,0.7798140799537331,19
19,2,21,0.8205912236136114,19
19,3,22,0.8250232119101631,19
19,4,23,0.8350798764528236,19
19,5,24,0.85052996675112,19
19,6,25,0.8305888182757964,19
19,7,26,0.8510394845391752,19
19,8,27,0.8497931277249208,19
19,9,28,0.8087215347833546,19
19,10,29,0.837348966170399,19
19,11,30,0.7917654648912333,19
20,1,21,0.786101378385574,20
20,2,22,0.8210211649659029,20
20,3,23,0.8376494833281918,20
20,4,24,0.8326832287746185,20
20,5,25,0.8376311078383645,20
20,6,26,0.8355843027686365,20
20,7,27,0.8584313091985663,20
20,8,28,0.8260958712948091,20
20,9,29,0.811840439024238,20
20,10,30,0.8338221314770634,20
21,1,22,0.7847983704461211,21
21,2,23,0.8270215341912935,21
21,3,24,0.8256349827764615,21
21,4,25,0.8258733906664705,21
21,5,26,0.8439977074869062,21
