filename,session_id,n_units_pm,lag,blockA_mean,blockB_mean,mouse_mean,blockA_n_pairs,blockB_n_pairs
session_786091066.mat,786091066,65,13,0.846126057328175,0.9783893669667144,0.9122577121474447,17,17
session_786091066.mat,786091066,65,14,0.8324272835883861,0.978379495921197,0.9054033897547915,16,16
session_786091066.mat,786091066,65,15,0.8162068869609544,0.9790729292581148,0.8976399081095346,15,15
session_786091066.mat,786091066,65,16,0.8042089997322706,0.9804145102718186,0.8923117550020445,14,14
session_786091066.mat,786091066,65,17,0.790515984207273,0.9798204467704963,0.8851682154888847,13,13
session_786091066.mat,786091066,65,18,0.776697664043374,0.9791015101283153,0.8778995870858446,12,12
session_786091066.mat,786091066,65,19,0.7662176079017698,0.9786104077926169,0.8724140078471934,11,11
session_786091066.mat,786091066,65,20,0.7554873322686897,0.9772556460297892,0.8663714891492394,10,10
session_786091066.mat,786091066,65,21,0.741085894602162,0.9766337229845424,0.8588598087933522,9,9
session_786091066.mat,786091066,65,22,0.7329381072929237,0.9749918165574338,0.8539649619251788,8,8
session_786091066.mat,786091066,65,23,0.7294403830344144,0.9731463098335952,0.8512933464340048,7,7
session_786091066.mat,786091066,65,24,0.7292232569858608,0.9718977107806032,0.8505604838832319,6,6
session_786091066.mat,786091066,65,25,0.7292906075267255,0.9690145683614763,0.8491525879441009,5,5
session_786091066.mat,786091066,65,26,0.7206312199796883,0.9703197391810049,0.8454754795803465,4,4
session_786091066.mat,786091066,65,27,0.7253735919060299,0.9697929817850225,0.8475832868455262,3,3
session_786091066.mat,786091066,65,28,0.7202112464315555,0.9632437948326811,0.8417275206321183,2,2
session_786091066.mat,786091066,65,29,0.6993160234526463,0.9589402978561252,0.8291281606543858,1,1
session_794812542.mat,794812542,65,1,0.9123336255447264,0.9390947567586756,0.9257141911517011,29,29
session_794812542.mat,794812542,65,2,0.9211987775083793,0.9249250859554708,0.9230619317319251,28,28
session_794812542.mat,794812542,65,3,0.8895890721053438,0.9420200072969312,0.9158045397011375,27,27
session_794812542.mat,794812542,65,4,0.8831957027413756,0.9254070875987881,0.9043013951700818,26,26
session_794812542.mat,794812542,65,5,0.8952445447135021,0.9169135055441004,0.9060790251288013,25,25
session_794812542.mat,794812542,65,6,0.8943333015125842,0.9207853134307818,0.907559307471683,24,24
session_794812542.mat,794812542,65,7,0.9135854268216782,0.9097106643767325,0.9116480455992053,23,23
session_794812542.mat,794812542,65,8,0.8987015763517505,0.9069687584178694,0.90283516738481,22,22
session_794812542.mat,794812542,65,9,0.8930908296137567,0.911901239409125,0.9024960345114409,21,21
session_794812542.mat,794812542,65,10,0.8828635883365527,0.9244402237348177,0.9036519060356851,20,20
session_794812542.mat,794812542,65,11,0.8722190035712705,0.9078334217534373,0.8900262126623539,19,19
session_794812542.mat,794812542,65,12,0.8764809543063898,0.8984733053279427,0.8874771298171662,18,18
session_794812542.mat,794812542,65,13,0.8699072531944143,0.9254854991100777,0.8976963761522461,17,17
session_794812542.mat,794812542,65,14,0.8917954799056727,0.9317185002878468,0.9117569900967597,16,16
session_794812542.mat,794812542,65,15,0.8752962294735467,0.9260929483149277,0.9006945888942373,15,15
session_794812542.mat,794812542,65,16,0.8877418466157421,0.9358223551652552,0.9117821008904987,14,14
session_794812542.mat,794812542,65,17,0.8710115178781002,0.9456153159337849,0.9083134169059426,13,13
session_794812542.mat,794812542,65,18,0.8876121053848722,0.9438991324924525,0.9157556189386624,12,12
session_794812542.mat,794812542,65,19,0.889916273886989,0.9395629758352839,0.9147396248611365,11,11
session_794812542.mat,794812542,65,20,0.9108720679338436,0.9582947344289089,0.9345834011813763,10,10
session_794812542.mat,794812542,65,21,0.903036438096414,0.9184788429102748,0.9107576405033444,9,9
session_794812542.mat,794812542,65,22,0.9033551081706095,0.9186331787079424,0.9109941434392759,8,8
session_794812542.mat,794812542,65,23,0.9110430786223572,0.9530120989680197,0.9320275887951885,7,7
session_794812542.mat,794812542,65,24,0.8619941955165044,0.9247304241636237,0.893362309840064,6,6
session_794812542.mat,794812542,65,25,0.8947379697287333,0.9106267278724374,0.9026823488005853,5,5
session_794812542.mat,794812542,65,26,0.8540756659345202,0.9395769855491203,0.8968263257418203,4,4
session_794812542.mat,794812542,65,27,0.9052073452217857,0.8936773895275301,0.8994423673746579,3,3
session_794812542.mat,794812542,65,28,0.8395856929880818,0.9126490925672648,0.8761173927776733,2,2
session_794812542.mat,794812542,65,29,0.9273423609552104,0.944771175007105,0.9360567679811577,1,1
session_816200189.mat,816200189,76,1,0.9889442805546176,0.9857425124486823,0.9873433965016499,29,29
session_816200189.mat,816200189,76,2,0.9868627963850247,0.9819375659520492,0.984400181168537,28,28
